ticker,expiry_time,status,side,price,score,won,pnl_cents,product
KXBTC15M-26MAR311745-00,2026-03-31T17:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR311745-00,2026-03-31T17:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311800-00,2026-03-31T18:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR311800-00,2026-03-31T18:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311815-00,2026-03-31T18:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR311815-00,2026-03-31T18:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311830-00,2026-03-31T18:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR311830-00,2026-03-31T18:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311845-00,2026-03-31T18:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR311845-00,2026-03-31T18:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311900-00,2026-03-31T19:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR311900-00,2026-03-31T19:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311915-00,2026-03-31T19:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR311915-00,2026-03-31T19:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311930-00,2026-03-31T19:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR311930-00,2026-03-31T19:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311945-00,2026-03-31T19:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR311945-00,2026-03-31T19:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312000-00,2026-03-31T20:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR312000-00,2026-03-31T20:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312015-00,2026-03-31T20:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR312015-00,2026-03-31T20:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312030-00,2026-03-31T20:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR312030-00,2026-03-31T20:30:00+00:00,rejected,,,,,,
